config_id,config_name,trial_idx,length,runtime,gap_pct
1,LR: 100% Hilbert,1,264357.0222171566,66.87890028953552,5.034923446919404
1,LR: 100% Hilbert,2,264616.5650419132,66.88690209388733,5.138045582661688
1,LR: 100% Hilbert,3,263950.7794243065,63.96904993057251,4.873514151679181
1,LR: 100% Hilbert,4,264480.7442414386,64.00799536705017,5.084080958379333
1,LR: 100% Hilbert,5,264224.5037082172,74.344064950943,4.9822708964972096
1,LR: 100% Hilbert,6,262827.18531610165,74.29276895523071,4.427085227072225
1,LR: 100% Hilbert,7,264638.69742486905,68.06106424331665,5.146839270568937
1,LR: 100% Hilbert,8,264415.3490181046,68.06171560287476,5.058097981951981
1,LR: 100% Hilbert,9,265231.53821160446,60.01529097557068,5.382388098168511
1,LR: 100% Hilbert,10,263744.22367645917,59.34386706352234,4.791444959869162
1,LR: 100% Hilbert,11,264126.0857464795,52.18742251396179,4.943167251773795
1,LR: 100% Hilbert,12,263759.1078128866,54.254130601882935,4.797358758251047
1,LR: 100% Hilbert,13,264594.70614529384,55.14988112449646,5.129360556957474
1,LR: 100% Hilbert,14,264715.12961791584,55.24959063529968,5.17720748049284
1,LR: 100% Hilbert,15,264333.9731737907,53.49497604370117,5.025765549447425
1,LR: 100% Hilbert,16,264192.49438590585,53.2764208316803,4.9695528809500455
1,LR: 100% Hilbert,17,265433.71433695464,53.15514159202576,5.462717168570541
1,LR: 100% Hilbert,18,264599.8097996478,53.284040212631226,5.131388352322497
1,LR: 100% Hilbert,19,264052.23707970954,54.39062833786011,4.913825534289673
1,LR: 100% Hilbert,20,262927.6406876532,54.385547399520874,4.46699838002067
1,LR: 100% Hilbert,21,264452.41038769786,55.32273292541504,5.072823288226869
1,LR: 100% Hilbert,22,264828.57657687593,55.32901096343994,5.222282480013263
1,LR: 100% Hilbert,23,263093.27243201574,55.87562441825867,4.5328075552171
1,LR: 100% Hilbert,24,264886.8862777187,55.27998924255371,5.245450220793768
1,LR: 100% Hilbert,25,264514.6129355632,53.72871422767639,5.097537743694858
1,LR: 100% Hilbert,26,264280.60210208234,54.300103425979614,5.0045600358425535
1,LR: 100% Hilbert,27,264723.64966578403,54.29033350944519,5.180592684971597
1,LR: 100% Hilbert,28,264529.31785713916,53.54329538345337,5.10338033603106
1,LR: 100% Hilbert,29,264468.1114855643,55.09384775161743,5.079061683555297
1,LR: 100% Hilbert,30,264476.8493837855,55.330095291137695,5.082533444823634
1,LR: 100% Hilbert,31,264579.203938119,54.33895015716553,5.123201185323567
1,LR: 100% Hilbert,32,264175.200593873,54.86974883079529,4.962681672812486
1,LR: 100% Hilbert,33,263870.65329503606,54.41771674156189,4.841678258751392
1,LR: 100% Hilbert,34,264004.69969337457,55.15210223197937,4.894937873607597
1,LR: 100% Hilbert,35,264762.2992509266,55.119757652282715,5.195949024601454
1,LR: 100% Hilbert,36,264453.41827579367,54.911367416381836,5.073223744579791
1,LR: 100% Hilbert,37,264100.0808271264,55.53838348388672,4.932834919042128
1,LR: 100% Hilbert,38,263831.1541960884,54.60268449783325,4.825984388396076
1,LR: 100% Hilbert,39,263821.92860962637,56.4957594871521,4.822318857744889
1,LR: 100% Hilbert,40,264137.88469215715,57.63330888748169,4.947855235265242
1,LR: 100% Hilbert,41,263363.70356105734,56.03134560585022,4.640255856375597
1,LR: 100% Hilbert,42,264760.08334576146,55.31534028053284,5.195068596204155
1,LR: 100% Hilbert,43,264720.68787998834,56.074947118759155,5.179415901613593
1,LR: 100% Hilbert,44,264091.39664369053,56.07750916481018,4.929384499852452
1,LR: 100% Hilbert,45,264073.2250138469,53.62514901161194,4.922164507232152
1,LR: 100% Hilbert,46,263968.4256010427,53.593238830566406,4.880525370095379
1,LR: 100% Hilbert,47,263967.2514696431,55.12123727798462,4.880058861581094
1,LR: 100% Hilbert,48,264426.9671270712,55.30904960632324,5.062714114996858
1,LR: 100% Hilbert,49,262926.1167962254,55.02088284492493,4.4663929040695605
1,LR: 100% Hilbert,50,263861.7830117582,55.1298303604126,4.838153897956166
2,LR: 100% Random,1,264735.235038192,53.18336009979248,5.185195811053789
2,LR: 100% Random,2,262270.5911039088,52.92382740974426,4.20593796955524
2,LR: 100% Random,3,263029.7221642231,53.97647833824158,4.507557620652669
2,LR: 100% Random,4,263169.13384809956,53.65006232261658,4.562948982761239
2,LR: 100% Random,5,263499.50067201816,54.35219407081604,4.694211068287313
2,LR: 100% Random,6,263039.89702161157,55.53603529930115,4.511600317751907
2,LR: 100% Random,7,263813.2883994675,54.865702390670776,4.818885910115989
2,LR: 100% Random,8,263855.14138985984,54.20997643470764,4.835515033885884
2,LR: 100% Random,9,263742.9677913272,54.946287870407104,4.79094596877907
2,LR: 100% Random,10,263154.20533176133,54.686166763305664,4.557017551253906
2,LR: 100% Random,11,263004.2657723229,56.59502029418945,4.497443230075682
2,LR: 100% Random,12,262842.5826832753,56.72426223754883,4.433202943442316
2,LR: 100% Random,13,263685.0676802583,55.12788963317871,4.767940967123785
2,LR: 100% Random,14,263781.56583417347,55.14032340049744,4.806281829508441
2,LR: 100% Random,15,262579.14696388284,53.83681654930115,4.328534074094703
2,LR: 100% Random,16,262840.7895936754,53.59104776382446,4.432490509071263
2,LR: 100% Random,17,262642.34092427674,56.2948477268219,4.353642439806382
2,LR: 100% Random,18,263364.9275840767,56.48579025268555,4.640742187939839
2,LR: 100% Random,19,263398.39944789704,63.16036415100098,4.654041303751133
2,LR: 100% Random,20,263641.03347173973,63.712045431137085,4.7504451968884975
2,LR: 100% Random,21,262990.25323676225,54.94718670845032,4.491875738100015
2,LR: 100% Random,22,262787.4491392233,57.13134026527405,4.411297160383154
2,LR: 100% Random,23,264237.21562159667,55.62209749221802,4.9873216223583094
2,LR: 100% Random,24,263317.6078195175,55.72552514076233,4.621940993228546
2,LR: 100% Random,25,262465.86509853834,54.94200158119202,4.283524669938954
3,LR: 100% Greedy NN,1,262788.1021040322,54.55885624885559,4.411556597821709
3,LR: 100% Greedy NN,2,263352.3161189453,52.556021213531494,4.635731372401364
3,LR: 100% Greedy NN,3,262747.3649150723,52.031787395477295,4.39537080677308
3,LR: 100% Greedy NN,4,262290.60726705357,53.29315423965454,4.213890836273082
3,LR: 100% Greedy NN,5,261898.72696180473,53.98305153846741,4.058188076736169
3,LR: 100% Greedy NN,6,262794.0266127281,53.606913328170776,4.413910536870191
3,LR: 100% Greedy NN,7,263241.29268614633,53.02759647369385,4.591619293716831
3,LR: 100% Greedy NN,8,263602.6147107319,56.064706802368164,4.73518056882023
3,LR: 100% Greedy NN,9,263256.118204501,56.34937357902527,4.597509801834909
