max_k,kicks_per_iter,iters,avg_gap,avg_time,std_gap
3,500,1,1.8779333333333335,2.23,0.1445500720627055
3,500,2,1.1012666666666666,4.3933333333333335,0.06515108083012379
3,500,4,0.8071333333333334,8.686666666666667,0.07531615585870892
3,1000,1,1.4234666666666667,2.22,0.3358989778688429
3,1000,2,0.8417333333333333,4.923333333333333,0.03786982087802017
3,1000,4,0.8506666666666667,9.35,0.1678264083311483
3,2000,1,1.2860333333333334,2.73,0.2796121838070247
3,2000,2,0.8331666666666667,5.073333333333333,0.1233054067481768
3,2000,4,0.8011666666666667,10.313333333333333,0.07561311614616432
4,500,1,1.4016333333333333,2.256666666666667,0.21632164323833467
4,500,2,0.9656666666666667,4.3966666666666665,0.19413485862496038
4,500,4,0.7682333333333333,8.856666666666667,0.041280544247058244
4,1000,1,1.2072,2.39,0.36267187649444227
4,1000,2,0.8567,5.056666666666667,0.09725497416584925
4,1000,4,0.7956333333333333,13.256666666666666,0.020392482274929978
4,2000,1,1.2083333333333333,2.58,0.18110575179527932
4,2000,2,0.8373999999999999,5.216666666666667,0.16551709881459378
4,2000,4,0.7634666666666666,10.49,0.03752790073176668
5,500,1,1.8812333333333333,2.2466666666666666,0.32214189937562204
5,500,2,1.1120999999999999,4.413333333333333,0.12386819607954254
5,500,4,0.8336,9.033333333333333,0.09087018212813266
5,1000,1,1.516,2.2233333333333336,0.11433586488936877
5,1000,2,0.867,4.876666666666667,0.1546183365581198
5,1000,4,0.7740666666666667,9.663333333333334,0.06587202238684743
5,2000,1,1.1982,2.7233333333333336,0.24911746225425468
5,2000,2,0.7706666666666666,5.38,0.0419105396449787
5,2000,4,0.7536333333333333,10.67,0.01599260245655267
